Station,Band Size,Bander,Recorder,Capture,Res vs Mig,Time,Net,Band #,Species,Chord,Flat Wing,Tail,Fat,BP,CP,B-molt,P-molt,S-molt,T-molt,Skull,Age,How aged,How aged,Sex,How sexed,How sexed,Weight,Month,Day,Year,Culmen,Bill Width,Notes
BARR,0,,,1,p,650,5,199005049,BCCH,,,,0,0,0,Y,N,N,N,,,,,U,,,11.6,8,26,1994,,,
BARR,0,,,1,p,640,2,199005050,BCCH,,,,1,0,0,Y,N,N,N,,,,,U,,,12.7,8,27,1994,,,
BARR,0,,,1,p,910,4,199005051,BCCH,,,,0,0,0,Y,N,N,N,,2,,,U,,,12.9,9,2,1994,,,
BARR,6,,,1,w,1520,,220604091,PRFA,307,,,,,,,,,,,5,H,,M,W,,,1,22,1999,,,
BARR,6,,,1,w,,,220640521,LEOW,271,,,,,,,,,,,2,J,,U,,,,9,16,2001,,,
BARR,4,,,1,p,1200,5,0544-02101,BBMA,192,,245,0,3,0,N,N,N,N,9,5,17,,F,6,,,5,7,1988,,,
BARR,4,,,1,p,845,3,0544-02102,BBMA,210,,,,,,,,,,,6,A,,U,,,,5,28,1988,,,WING CORD APPROXIMATE
BARR,4,,,1,p,830,1,0544-02103,BBMA,207,,290,0,1,0,N,N,N,N,9,5,17,,U,,,,6,11,1988,,,
BARR,4,,,1,p,1200,26,0544-02104,BBMA,202,,271,0,9,9,N,N,N,N,9,2,H,,U,,,,10,16,1988,,,Jean
BARR,4,,,1,p,945,6,0544-02106,BBMA,198,,282,0,,,Y,N,6,N,,1,17,,M,19,,202,10,10,1991,,,"SMELLED BAD, P9 BLACK DIST=15, P10 LONG POINTED, MOUTH BLACK, ANT  PINK"
BARR,4,,,1,s,2000,,0544-02115,BUOW,167,,,,,,,,,,,5,M,,U,,,,8,25,1997,14.4,,
BARR,4,,,1,p,1750,,0544-16001,BBMA,92,,,0,0,0,,,,,,4,,,U,,,,6,14,1997,,,
BARR,4,,,1,p,1800,,0544-16002,BBMA,105,,,0,0,0,,,,,,4,,,U,,,,6,14,1997,,,
BARR,4,,,1,p,,,0554-62680,NOHA,239,,,,,,,,,,,6,A,,M,P,,,10,2,1999,,,
BARR,4,,,1,w,,,0554-62681,NSWO,141,,,,,,,,,,,5,H,,F,W,,,10,19,2001,,,
BARR,4,,,1,p,,,0564-34458,BBMA,196,,,,,,,,,,,2,H,,U,,,,10,17,2001,,,
BARR,8,,,1,p,820,,0608-47777,GHOW,385,,,,,,,,,,,2,M,,U,,,,10,31,1996,23.8,,"EXP CUL=, HALX=41.8"
BARR,8,,,1,p,1810,,0608-70741,GHOW,364,,,,,,,,,,,5,H,,U,,,,2,19,1995,,,160TH E OF I-76
BARR,1,,,1,w,1130,19,0680-31081,ORJU,77,,,2,0,0,N,N,N,N,2,2,S,,U,,,21.3,10,22,1994,,,
BARR,1,,,1,m,910,4,0680-64934,LISP,63,,,0,0,0,N,N,N,N,2,2,S,,U,,,15.6,9,19,1994,,,
BARR,R,,,R,m,1120,5,0680-64934,LISP,63,,,0,0,0,N,N,N,N,2,2,S,,U,,,17.1,9,27,1994,,,
BARR,R,,,R,m,1130,5,0680-64934,LISP,63,,,2,0,0,N,N,N,5,2,2,S,,U,,,16.3,10,3,1994,,,
BARR,1,,,1,m,720,5,0680-64940,LISP,63,,,3,0,0,Y,N,N,N,2,2,S,,U,,,21,9,30,1994,,,
BARR,1,,,1,m,810,5,0680-64947,LISP,63,,,1,0,0,N,N,N,N,2,2,S,,U,,,17.9,9,27,1994,,,
BARR,R,,,R,m,1130,5,0680-64947,LISP,63,,,2,0,0,N,N,N,N,3,1,S,,U,,,18.4,9,28,1994,,,
BARR,R,,,R,m,1510,5,0680-64947,LISP,61,,,4,0,0,N,N,N,N,3,1,S,,U,,,22,10,15,1994,,,
BARR,1,,,1,w,1200,8,0680-64953,ORJU,73,,,2,0,0,N,N,N,N,2,2,S,,F,P,,17.2,10,5,1994,,,
